# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
GEMC1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:Transcriptional regulation of multiciliogenesis (idf=6.20); go:transcription coregulator activity (idf=4.59); go:transcription coactivator activity (idf=4.04) (+2 more) | captured 8 GO / 1 Reactome / 0 OT
GLIS3,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=4.66); go:transcription by RNA polymerase II (idf=4.66); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:DNA-binding transcription repressor activity, RNA polymerase II-specific (idf=4.04) (+5 more) | captured 12 GO / 0 Reactome / 0 OT"
GON4L,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.59); go:transcription coregulator activity (idf=4.59); go:regulation of DNA-templated transcription (idf=2.75) | captured 6 GO / 0 Reactome / 0 OT
GSTO1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:Methylation (idf=6.20); open_targets:Methylation (idf=6.20) | captured 18 GO / 4 Reactome / 4 OT
H2BC4,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:structural constituent of chromatin (idf=6.61); reactome:Transcriptional regulation by small RNAs (idf=6.61); reactome:Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 (idf=6.61) (+27 more) | captured 17 GO / 58 Reactome / 58 OT
HDAC1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.20); go:negative regulation of gene expression, epigenetic (idf=6.20); go:histone decrotonylase activity (idf=6.20); reactome:Interaction of NuRD complexes with transcription factors (idf=6.20) (+62 more) | captured 76 GO / 42 Reactome / 42 OT"
HDAC3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:negative regulation of transcription initiation by RNA polymerase II (idf=6.61); go:histone isonicotinyllysine deisonicotinylase activity (idf=6.61); go:histone decrotonylase activity (idf=6.20) (+32 more) | captured 57 GO / 25 Reactome / 25 OT
HDAC9,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); go:histone H3K14 deacetylase activity, hydrolytic mechanism (idf=6.61); go:histone H3K9 deacetylase activity, hydrolytic mechanism (idf=6.61); go:histone H4K16 deacetylase activity, hydrolytic mechanism (idf=6.61) (+18 more) | captured 32 GO / 5 Reactome / 5 OT"
HEATR1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:positive regulation of transcription by RNA polymerase I (idf=6.20) | captured 19 GO / 2 Reactome / 2 OT
HESX1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=4.08); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:DNA-binding transcription repressor activity, RNA polymerase II-specific (idf=4.04); go:chromatin binding (idf=3.37) (+5 more) | captured 20 GO / 0 Reactome / 0 OT"
HIVEP2,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=2.96); go:DNA-binding transcription factor activity, RNA polymerase II-specific (idf=2.96); go:regulation of transcription by RNA polymerase II (idf=2.77) | captured 7 GO / 0 Reactome / 0 OT"
HNF1B,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.36); go:positive regulation of transcription initiation by RNA polymerase II (idf=5.36); go:transcription coregulator binding (idf=5.00); go:promoter-specific chromatin binding (idf=4.66) (+7 more) | captured 29 GO / 6 Reactome / 6 OT
HSF1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (idf=6.61); go:general transcription initiation factor binding (idf=5.51); go:chromatin DNA binding (idf=4.82) (+11 more) | captured 56 GO / 6 Reactome / 6 OT
IGF2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.01); open_targets:Chromatin organization (idf=4.01); go:regulation of DNA-templated transcription (idf=2.75); go:negative regulation of transcription by RNA polymerase II (idf=2.73) | captured 30 GO / 6 Reactome / 6 OT
ING3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:histone H4K12 acetyltransferase activity (idf=6.61); go:histone H4K5 acetyltransferase activity (idf=6.20); go:histone H4K8 acetyltransferase activity (idf=6.20) (+12 more) | captured 19 GO / 1 Reactome / 1 OT
IPO7,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.90); go:histone binding (idf=4.90) | captured 19 GO / 1 Reactome / 1 OT
JAZF1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.36); go:transcription repressor complex (idf=5.36); go:transcription corepressor activity (idf=4.53); go:negative regulation of transcription by RNA polymerase II (idf=2.73) | captured 6 GO / 0 Reactome / 0 OT
JUN,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:host-mediated activation of viral transcription (idf=6.61); go:transcription factor AP-1 complex (idf=6.20); go:host-mediated suppression of viral transcription (idf=5.92) (+31 more) | captured 52 GO / 15 Reactome / 15 OT
KANSL1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:H4 histone acetyltransferase complex (idf=6.61); go:regulation of mitochondrial transcription (idf=6.20); reactome:Formation of WDR5-containing histone-modifying complexes (idf=6.20) (+8 more) | captured 12 GO / 2 Reactome / 2 OT
KAT5,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:histone H2AK5 acetyltransferase activity (idf=6.61); go:histone acetyltransferase activity (idf=6.20); go:histone H2A acetyltransferase activity (idf=6.20) (+20 more) | captured 75 GO / 22 Reactome / 22 OT
KAT8,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:regulation of mitochondrial transcription (idf=6.20); go:histone acetyltransferase activity (idf=6.20); go:histone H4K5 acetyltransferase activity (idf=6.20) (+21 more) | captured 46 GO / 2 Reactome / 2 OT
KEAP1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); go:transcription regulator inhibitor activity (idf=5.51); go:RNA polymerase II-specific DNA-binding transcription factor binding (idf=3.97); go:negative regulation of transcription by RNA polymerase II (idf=2.73) | captured 24 GO / 6 Reactome / 6 OT
LAMTOR3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.82); reactome:Regulation of PTEN gene transcription (idf=4.82); open_targets:Regulation of PTEN gene transcription (idf=4.82); open_targets:Gene expression (Transcription) (idf=2.22) | captured 24 GO / 9 Reactome / 9 OT
LCMT1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:C-terminal protein methylation (idf=6.61); go:protein methylation (idf=6.20) | captured 15 GO / 1 Reactome / 1 OT
LIN28B,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.36); go:post-transcriptional regulation of gene expression (idf=5.36) | captured 19 GO / 0 Reactome / 0 OT
MAPK8,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:histone deacetylase regulator activity (idf=6.61); reactome:Activation of the AP-1 family of transcription factors (idf=5.22); open_targets:Activation of the AP-1 family of transcription factors (idf=5.22) (+1 more) | captured 49 GO / 12 Reactome / 12 OT
MCMBP,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=3.37); go:chromatin binding (idf=3.37) | captured 7 GO / 0 Reactome / 0 OT
MECP2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:histone reader activity (idf=6.61); go:negative regulation of gene expression via chromosomal CpG island methylation (idf=6.20); reactome:MECP2 regulates transcription of genes involved in GABA signaling (idf=5.92) (+16 more) | captured 43 GO / 11 Reactome / 11 OT
METTL3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:RNA methylation (idf=6.61) | captured 38 GO / 1 Reactome / 1 OT
METTL8,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:tRNA C3-cytosine methylation (idf=6.61) | captured 12 GO / 0 Reactome / 0 OT
MKI67,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:regulation of chromatin organization (idf=6.61) | captured 14 GO / 0 Reactome / 0 OT
MOBP,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.69); reactome:Transcriptional Regulation by MECP2 (idf=5.69); open_targets:Transcriptional Regulation by MECP2 (idf=5.69); open_targets:Gene expression (Transcription) (idf=2.22) | captured 6 GO / 1 Reactome / 1 OT
MORC2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:constitutive heterochromatin formation (idf=6.61); go:transposable element silencing by heterochromatin formation (idf=6.61); go:ATP-dependent chromatin remodeler activity (idf=6.20) (+4 more) | captured 20 GO / 2 Reactome / 2 OT
MSTN,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.36); reactome:FOXO-mediated transcription of cell cycle genes (idf=5.36); open_targets:FOXO-mediated transcription of cell cycle genes (idf=5.36); go:positive regulation of DNA-templated transcription (idf=2.79) (+1 more) | captured 37 GO / 1 Reactome / 1 OT
MSX2,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=5.92); go:DNA-binding transcription repressor activity (idf=5.92); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:DNA-binding transcription repressor activity, RNA polymerase II-specific (idf=4.04) (+9 more) | captured 23 GO / 1 Reactome / 1 OT"
MTHFR,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:heterochromatin organization (idf=6.61) | captured 21 GO / 1 Reactome / 1 OT
MTOR,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (idf=6.61); go:TFIIIC-class transcription factor complex binding (idf=6.61); go:positive regulation of transcription by RNA polymerase III (idf=5.92) (+3 more) | captured 107 GO / 15 Reactome / 15 OT
MYF5,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=4.74); go:RNA polymerase II transcription regulator complex (idf=4.74); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39); go:DNA-binding transcription factor activity, RNA polymerase II-specific (idf=2.96) (+4 more) | captured 22 GO / 2 Reactome / 2 OT"
MYOZ1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=2.73); go:negative regulation of transcription by RNA polymerase II (idf=2.73) | captured 19 GO / 0 Reactome / 0 OT
NDRG1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain (idf=6.20); open_targets:TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain (idf=6.20); open_targets:Gene expression (Transcription) (idf=2.22) | captured 22 GO / 1 Reactome / 1 OT
NDUFA13,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=3.28); go:negative regulation of DNA-templated transcription (idf=3.28) | captured 20 GO / 3 Reactome / 3 OT
NDUFAF7,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); go:peptidyl-arginine methylation, to symmetrical-dimethyl arginine (idf=6.61) | captured 9 GO / 1 Reactome / 1 OT"
NFIB,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:RNA Polymerase III Transcription Termination (idf=6.20); open_targets:RNA Polymerase III Transcription Termination (idf=6.20); go:transcription regulator inhibitor activity (idf=5.51) (+11 more) | captured 34 GO / 2 Reactome / 2 OT
NFIC,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:RNA Polymerase III Transcription Termination (idf=6.20); open_targets:RNA Polymerase III Transcription Termination (idf=6.20); go:transcription by RNA polymerase II (idf=4.66) (+10 more) | captured 16 GO / 2 Reactome / 2 OT
NKX2-1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:intronic transcription regulatory region sequence-specific DNA binding (idf=6.61); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:transcription regulator complex (idf=4.01) (+11 more) | captured 37 GO / 0 Reactome / 0 OT
NOC3L,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=3.37); go:chromatin binding (idf=3.37) | captured 7 GO / 0 Reactome / 0 OT
NOP56,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:rRNA 2'-O-methylation (idf=6.61); go:histone methyltransferase binding (idf=6.61); go:box C/D methylation guide snoRNP complex (idf=6.61) | captured 20 GO / 3 Reactome / 3 OT
NOTCH1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:positive regulation of transcription of Notch receptor target (idf=6.61); reactome:NOTCH4 Intracellular Domain Regulates Transcription (idf=6.61); open_targets:NOTCH4 Intracellular Domain Regulates Transcription (idf=6.61) (+20 more) | captured 162 GO / 22 Reactome / 23 OT
NOTCH3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); reactome:NOTCH3 Intracellular Domain Regulates Transcription (idf=5.92); open_targets:NOTCH3 Intracellular Domain Regulates Transcription (idf=5.92); reactome:Notch-HLH transcription pathway (idf=5.51) (+6 more) | captured 24 GO / 8 Reactome / 8 OT
NR3C1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); reactome:Regulation of NPAS4 gene transcription (idf=6.61); open_targets:Regulation of NPAS4 gene transcription (idf=6.61); reactome:FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes (idf=5.00) (+18 more) | captured 59 GO / 8 Reactome / 8 OT"
NRIP1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); reactome:SUMOylation of transcription cofactors (idf=5.92); open_targets:SUMOylation of transcription cofactors (idf=5.92); go:histone deacetylase complex (idf=5.51) (+8 more) | captured 27 GO / 7 Reactome / 7 OT
NSMCE2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:chromatin looping (idf=6.20) | captured 19 GO / 1 Reactome / 1 OT
NUAK1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=2.22); open_targets:Gene expression (Transcription) (idf=2.22) | captured 15 GO / 1 Reactome / 1 OT
NUP160,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); reactome:SUMOylation of chromatin organization proteins (idf=5.51); open_targets:SUMOylation of chromatin organization proteins (idf=5.51) | captured 10 GO / 37 Reactome / 37 OT
NUP205,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); reactome:SUMOylation of chromatin organization proteins (idf=5.51); open_targets:SUMOylation of chromatin organization proteins (idf=5.51) | captured 12 GO / 31 Reactome / 31 OT
NUP93,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); reactome:SUMOylation of chromatin organization proteins (idf=5.51); open_targets:SUMOylation of chromatin organization proteins (idf=5.51) | captured 15 GO / 31 Reactome / 31 OT
OGG1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:positive regulation of gene expression via chromosomal CpG island demethylation (idf=6.20); go:regulation of DNA-templated transcription (idf=2.75); go:positive regulation of transcription by RNA polymerase II (idf=2.37) | captured 34 GO / 9 Reactome / 9 OT
PAPOLA,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); go:co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway (idf=6.61); reactome:RNA Polymerase II Transcription Termination (idf=5.69); open_targets:RNA Polymerase II Transcription Termination (idf=5.69) (+1 more) | captured 13 GO / 5 Reactome / 5 OT"
PAX2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:transcription factor binding (idf=6.61); go:transcription cis-regulatory region binding (idf=3.50); go:negative regulation of DNA-templated transcription (idf=3.28) (+7 more) | captured 73 GO / 3 Reactome / 4 OT
PAX5,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); reactome:RUNX1 regulates transcription of genes involved in BCR signaling (idf=6.61); open_targets:RUNX1 regulates transcription of genes involved in BCR signaling (idf=6.61); go:transcription by RNA polymerase II (idf=4.66) (+8 more) | captured 17 GO / 2 Reactome / 1 OT
PDS5B,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); reactome:Cohesin Loading onto Chromatin (idf=6.61); open_targets:Cohesin Loading onto Chromatin (idf=6.61); go:chromatin (idf=2.71) | captured 14 GO / 4 Reactome / 4 OT
PINK1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:FOXO-mediated transcription of cell death genes (idf=6.20); open_targets:FOXO-mediated transcription of cell death genes (idf=6.20); go:chromatin (idf=2.71) (+2 more) | captured 96 GO / 2 Reactome / 2 OT
PKNOX2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.08); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:DNA-binding transcription factor activity (idf=3.16); go:regulation of DNA-templated transcription (idf=2.75) (+1 more) | captured 16 GO / 0 Reactome / 0 OT
PLK2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); reactome:TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain (idf=5.92); open_targets:TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain (idf=5.92); go:chromatin (idf=2.71) (+1 more) | captured 36 GO / 3 Reactome / 3 OT
POLG,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=3.37); go:chromatin binding (idf=3.37) | captured 24 GO / 1 Reactome / 1 OT
POU4F1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.20); go:positive regulation of transcription regulatory region DNA binding (idf=6.20); go:RNA polymerase II transcription regulator complex (idf=4.74); go:DNA-binding transcription repressor activity, RNA polymerase II-specific (idf=4.04) (+11 more) | captured 44 GO / 1 Reactome / 1 OT"
PPP1R10,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); go:negative regulation of transcription elongation by RNA polymerase II (idf=6.61); go:positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled (idf=6.20); go:positive regulation of transcription elongation by RNA polymerase II (idf=5.92) (+1 more) | captured 23 GO / 1 Reactome / 1 OT"
PPP1R13L,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.53); go:transcription corepressor activity (idf=4.53); go:negative regulation of DNA-templated transcription (idf=3.28); go:regulation of transcription by RNA polymerase II (idf=2.77) (+2 more) | captured 13 GO / 1 Reactome / 1 OT
PSMC3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:host-mediated perturbation of viral transcription (idf=6.61); reactome:Orc1 removal from chromatin (idf=5.69); open_targets:Orc1 removal from chromatin (idf=5.69) (+4 more) | captured 26 GO / 69 Reactome / 68 OT
PTH,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=2.37); go:positive regulation of transcription by RNA polymerase II (idf=2.37) | captured 40 GO / 2 Reactome / 2 OT
PUM1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:post-transcriptional gene silencing (idf=6.20); go:post-transcriptional regulation of gene expression (idf=5.36) | captured 24 GO / 1 Reactome / 1 OT
RBFOX1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); reactome:MECP2 regulates transcription factors (idf=5.51); open_targets:MECP2 regulates transcription factors (idf=5.51); open_targets:Gene expression (Transcription) (idf=2.22) | captured 14 GO / 1 Reactome / 1 OT
RBFOX3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=2.22); open_targets:Gene expression (Transcription) (idf=2.22) | captured 9 GO / 1 Reactome / 1 OT
RELB,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.36); go:transcription repressor complex (idf=5.36); go:negative regulation of DNA-templated transcription (idf=3.28); go:DNA-binding transcription factor activity (idf=3.16) (+4 more) | captured 29 GO / 4 Reactome / 3 OT
RORA,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); go:ligand-modulated transcription factor activity (idf=6.61); open_targets:Phosphorylation of CLOCK, acetylation of BMAL1 (ARNTL) at target gene promoters (idf=5.92); go:transcription corepressor binding (idf=5.11) (+13 more) | captured 44 GO / 8 Reactome / 10 OT"
RREB1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=4.66); go:transcription by RNA polymerase II (idf=4.66); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39) (+6 more) | captured 22 GO / 0 Reactome / 0 OT"
RXRG,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.82); reactome:Nuclear Receptor transcription pathway (idf=4.82); open_targets:Nuclear Receptor transcription pathway (idf=4.82); go:RNA polymerase II transcription regulator complex (idf=4.74) (+6 more) | captured 22 GO / 2 Reactome / 2 OT
SAP30L,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.69); reactome:HDACs deacetylate histones (idf=5.69); open_targets:HDACs deacetylate histones (idf=5.69); go:histone deacetylase complex (idf=5.51) (+6 more) | captured 21 GO / 3 Reactome / 3 OT
SETX,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:DNA-templated transcription termination (idf=6.61); go:termination of RNA polymerase II transcription (idf=6.61); go:positive regulation of termination of DNA-templated transcription (idf=6.61) (+4 more) | captured 35 GO / 0 Reactome / 0 OT
SF3B1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:positive regulation of transcription by RNA polymerase I (idf=6.20); go:positive regulation of transcription by RNA polymerase III (idf=5.92); go:chromatin remodeling (idf=4.31) (+4 more) | captured 31 GO / 6 Reactome / 6 OT
SIRT1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:peptidyl-lysine acetylation (idf=6.61); go:regulation of transcription by glucose (idf=6.61); go:negative regulation of protein acetylation (idf=6.61) (+38 more) | captured 163 GO / 9 Reactome / 9 OT
SIRT2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:peptidyl-lysine deacetylation (idf=6.61); go:histone methacryllysine demethacrylase activity (idf=6.61); go:histone benzoyllysine debenzoylase activity (idf=6.61) (+19 more) | captured 94 GO / 1 Reactome / 1 OT
SKP2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.69); reactome:Orc1 removal from chromatin (idf=5.69); open_targets:Orc1 removal from chromatin (idf=5.69); open_targets:Gene expression (Transcription) (idf=2.22) | captured 20 GO / 10 Reactome / 10 OT
SMAD4,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); reactome:RUNX3 regulates BCL2L11 (BIM) transcription (idf=6.20); open_targets:RUNX3 regulates BCL2L11 (BIM) transcription (idf=6.20); reactome:Transcriptional regulation of pluripotent stem cells (idf=5.92) (+34 more) | captured 96 GO / 21 Reactome / 21 OT
SNRPD2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); go:7-methylguanosine cap hypermethylation (idf=5.92); open_targets:Chromatin organization (idf=4.01) | captured 32 GO / 7 Reactome / 7 OT
SNRPD3,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:histone pre-mRNA DCP binding (idf=6.61); go:protein methylation (idf=6.20); go:nuclear histone mRNA catabolic process (idf=6.20) (+9 more) | captured 43 GO / 10 Reactome / 10 OT
SNRPE,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:nuclear histone mRNA catabolic process (idf=6.20); reactome:SLBP independent Processing of Histone Pre-mRNAs (idf=6.20); reactome:SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs (idf=6.20) (+7 more) | captured 32 GO / 10 Reactome / 10 OT
SOX11,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=6.61); go:negative regulation of transcription regulatory region DNA binding (idf=6.61); go:transcription cis-regulatory region binding (idf=3.50); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39) (+6 more) | captured 52 GO / 0 Reactome / 0 OT"
SP6,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=2.96); go:DNA-binding transcription factor activity, RNA polymerase II-specific (idf=2.96); go:regulation of transcription by RNA polymerase II (idf=2.77); go:chromatin (idf=2.71) | captured 10 GO / 0 Reactome / 0 OT"
SUPT6H,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); go:transcription elongation by RNA polymerase II (idf=5.92); go:transcription elongation-coupled chromatin remodeling (idf=5.92); go:transcription elongation factor complex (idf=5.92) (+6 more) | captured 14 GO / 4 Reactome / 3 OT
TARDBP,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:perichromatin fibrils (idf=6.61); go:interchromatin granule (idf=6.61); go:host-mediated suppression of viral transcription (idf=5.92) (+1 more) | captured 36 GO / 0 Reactome / 0 OT
TBP,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:DNA-templated transcription initiation (idf=6.61); go:transcription by RNA polymerase III (idf=6.61); go:RNA polymerase III general transcription initiation factor activity (idf=6.61) (+40 more) | captured 36 GO / 22 Reactome / 21 OT
TCF7L2,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.22); reactome:Transcriptional Regulation by VENTX (idf=5.22); open_targets:Transcriptional Regulation by VENTX (idf=5.22); go:transcription corepressor binding (idf=5.11) (+13 more) | captured 49 GO / 12 Reactome / 12 OT
TFAM,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:transcription initiation at mitochondrial promoter (idf=6.61); reactome:Mitochondrial transcription initiation (idf=6.61); open_targets:Mitochondrial transcription initiation (idf=6.61) (+7 more) | captured 18 GO / 3 Reactome / 3 OT
TFCP2L1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=4.08); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:transcription cis-regulatory region binding (idf=3.50); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39) (+5 more) | captured 13 GO / 0 Reactome / 0 OT"
THAP11,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=4.08); go:RNA polymerase II transcription regulatory region sequence-specific DNA binding (idf=4.08); go:DNA-binding transcription repressor activity, RNA polymerase II-specific (idf=4.04); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39) (+5 more) | captured 16 GO / 0 Reactome / 0 OT"
TK1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); reactome:G1/S-Specific Transcription (idf=5.51); open_targets:G1/S-Specific Transcription (idf=5.51) | captured 14 GO / 2 Reactome / 2 OT
TOP1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); go:rRNA transcription (idf=5.92); go:chromatin DNA binding (idf=4.82); go:chromatin remodeling (idf=4.31) (+1 more) | captured 41 GO / 1 Reactome / 1 OT
TP53,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:mRNA transcription (idf=6.61); reactome:TP53 Regulates Transcription of Death Receptors and Ligands (idf=6.61); reactome:Regulation of TP53 Activity through Methylation (idf=6.61) (+59 more) | captured 126 GO / 46 Reactome / 46 OT
TRIM32,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); go:negative regulation of viral transcription (idf=6.61); go:transcription coactivator activity (idf=4.04); go:positive regulation of DNA-templated transcription (idf=2.79) | captured 58 GO / 2 Reactome / 2 OT
TRIM71,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.36); go:post-transcriptional regulation of gene expression (idf=5.36) | captured 23 GO / 1 Reactome / 1 OT
